name	address	city	state	zipcode	country	website	phone	fbook	twitter	gplus
Handsome Coffee Roasters	582 Mateo Street	Los Angeles	CA	90013	USA	http://www.handsomecoffee.com/	2136214194	https://www.facebook.com/pages/Handsome-Coffee-Roasters-Arts-District-Coffee-Bar/238642302859520	@HandsomeRoaster	
Nagadi Coffee Roastery	9325 Fraser Avenue	Silver Spring	MD	20910	USA	http://www.nagadicoffee.com/		https://www.facebook.com/pages/Nagadi-Coffee/143644429031140	@nagadicoffee 	
Intelligentsia Coffee	1850 West Fulton St.	Chicago	IL	60612	USA	http://www.intelligentsiacoffee.com/	3125630023	https://www.facebook.com/IntelligentsiaCoffee	@Intelligentsia 	
Heart Roasters	2211 E. Burnside St.	Portland	OR	97214	USA	http://www.heartroasters.com/	5032066602			
Kaldi's Coffee		Saint Louis	MO		USA	http://kaldiscoffee.com/				
Vigilante Coffee		Washington	DC		USA	http://vigilantecoffee.myshopify.com/				
Counter Culture Coffee	4911 South Alston Avenue	Durham	NC	27713	USA	http://www.counterculturecoffee.com/	9193615282	https://www.facebook.com/counterculturecoffee	@counter_culture 	
Kéan Coffee		Newport Beach	CA		USA	http://www.keancoffee.com/				
Madcap Coffee		Grand Rapids	MI		USA	http://madcapcoffee.com/				
Stumptown Coffee Roasters		Portland	OR		USA	http://stumptowncoffee.com/				
Verve Coffee Roasters		Santa Cruz	CA		USA	http://www.vervecoffeeroasters.com/				
Caffe Ladro		Seattle	WA		USA	http://www.caffeladro.com/				
Ritual Coffee Roasters		San Francisco	CA		USA	http://www.ritualroasters.com/				
Joe		New York City	NY		USA	http://www.joenewyork.com/				
Four Barrel Coffee		San Francisco	CA		USA	http://fourbarrelcoffee.com/				
Metropolis Coffee Company		Chicago	IL		USA	http://www.metropoliscoffee.com/				
Coava Coffee		Portland	OR		USA	http://coavacoffee.com/				
PT's Coffee Roasting Company		Topeka	KS		USA	http://www.ptscoffee.com/				
Sightglass Coffee		San Francisco	CA		USA	https://www.sightglasscoffee.com/				
Gimme! Coffee		Ithaca	NY		USA	http://www.gimmecoffee.com/				
Ceremony Coffee Roasters		Annapolis	MD		USA	http://www.ceremonycoffee.com/				
Wrecking Ball Coffee Roasters		San Francisco	CA		USA	http://www.wreckingballcoffee.com/				
Cafe Grumpy		New York City	NY		USA	http://cafegrumpy.com/				
